sector,sl_no,project_name,agency,project_code,legacy_ocms_code,original_cost,commissioning_date,expenditure,report_month,source_file,completion_month,ministry,state,approval_date,start_date,actual_completion,target_doc,revised_doc,revised_cost,final_cost,actual_mi,orig_doc_mi,y_cost_overrun_pct,y_time_overrun_m
,1,EASTERN REGION STRENTHENING SCHEME XVII( PART B),PGCIL,,N18000244,235.53,06/2019,170.26,2024-07,July_Part-II.pdf,,,,,,,,,,235.53,24234.0,,0.0,
,2,TRANSMISSION SYSTEM FOR EVACUTION OF POWER FROM NEYVELI LIGNITE CORP LTD TS - I,REPLACEMENT) IN NEY,,N18000262,186.17,07/2019,180.54,2024-07,July_Part-II.pdf,,,,,,,,,,186.17,24235.0,,0.0,
,3,"TRANSMISSION SYSTEM FOR POWER EVACUATION FROM ARUN-3 (900MW) HEP, NEPAL OF M/S SAPDC- INDIAN PORTION",PGCIL,,N18000299,179.29,04/2023,116.97,2024-07,July_Part-II.pdf,,,,,,,,,,179.29,24280.0,,0.0,
,4,IMPLEMENTATION OF 500 MVAR THYRISTOR CONTROLLED REACTOR AT KURUKSHETRA,PGCIL,,N18000302,267.33,03/2022,111.63,2024-07,July_Part-II.pdf,,,,,,,,,,267.33,24267.0,,0.0,
,5,TRANSMISSION SYSTEM STRENGTHENING SCHEME FOR EVACUATION OF POWER FROM SOLAR ENERGY ZONES IN RAJASTHA,PGCIL,,N18000303,353.85,12/2022,273.06,2024-07,July_Part-II.pdf,,,,,,,,,,353.85,24276.0,,0.0,
,6,TRANSMISSION SYSTEM STRENGTHENING SCHEME FOR EVACUATION OF POWER FROM SOLAR ENERGY ZONES IN RAJASTHA,PGCIL,,N18000304,1340.81,12/2022,1318.34,2024-07,July_Part-II.pdf,,,,,,,,,,1340.81,24276.0,,0.0,
,7,"TRANSMISSION SYSTEM FOR PROVIDING CONNECTIVITY TO RE PROJECTS AT BIKANER (PG), FATEHGARH-II AND BHAD",PGCIL,,N18000314,562.86,01/2021,409.38,2024-07,July_Part-II.pdf,,,,,,,,,,562.86,24253.0,,0.0,
,8,RELIABLE COMMUNICATION SCHEME UNDER CENTRAL SECTOR FOR NORTHERN REGION,PGCIL,,N18000317,241.38,11/2021,243.75,2024-07,July_Part-II.pdf,,,,,,,,,,241.38,24263.0,,0.0,
,9,"NORTH EAST-NORTHERN/ WESTERN INTERCONNECTOR-I, PART-C",PGCIL,,N18000327,1326.0,03/2023,1466.21,2024-07,July_Part-II.pdf,,,,,,,,,,1326.0,24279.0,,0.0,
,10,AUGMENTATION OF TRANSFORMATION CAPACITY IN SOUTHERN REGION.,PGCIL,,N18000329,176.22,03/2023,95.43,2024-07,July_Part-II.pdf,,,,,,,,,,176.22,24279.0,,0.0,
,11,RELIABLE COMMUNICATION SCHEME UNDER CENTRAL SECTOR FOR SOUTHERN REGION,PGCIL,,N18000339,173.94,11/2021,130.76,2024-07,July_Part-II.pdf,,,,,,,,,,173.94,24263.0,,0.0,
,12,POWERGRID NEEMUCH TRANSMISSION SYSTEM LIMITED,PGCIL,,N18000341,863.99,02/2024,547.13,2024-07,July_Part-II.pdf,,,,,,,,,,863.99,24290.0,,0.0,
,13,SCHEME TO RELIEVE HIGH LOADING OF WR-NR INTER REGIONAL CORRIDOR,PGCIL,,N18000371,200.58,05/2024,134.39,2024-07,July_Part-II.pdf,,,,,,,,,,200.58,24293.0,,0.0,
,14,FOUR LANING OF NUMALIGARH TO JORHAT SECTION FROM KM. 402.500 TO KM. 453.000 (DESIGN KM 403.200 TO KM,NHIDCL,,N24000305,454.89,05/2018,569.94,2024-07,July_Part-II.pdf,,,,,,,,,,454.89,24221.0,,0.0,
,15,JABALPUR TO HIREN RIVER SECTION OF NH-12 IN MADHYA PRADESH KM 11/400 TO 66/400,MoRTH,,N24000475,628.45,01/2020,531.11,2024-07,July_Part-II.pdf,,,,,,,,,,628.45,24241.0,,0.0,
,16,INTEGRATED STRUCTURE WITH DEVELOPMENT OF OTHER ALLIED STRUCTURES ON BOTH SIDES OF CHANDNI CHOWK JUNC,NHAI,,N24001485,397.6,02/2022,375.1,2024-07,July_Part-II.pdf,,,,,,,,,,397.6,24266.0,,0.0,
,17,UPGRADATION OF REWA-SIRMOUR ROAD TO 2L + PS,MoRTH,,N24000870,162.56,03/2018,141.26,2024-07,July_Part-II.pdf,,,,,,,,,,162.56,24219.0,,0.0,
,18,WIDENING OF EXISTING ROAD TO 2 LANE WITH PAVED SHOULDER FROM HUKANJURI TO KHONSA SECTION OF NH-315A,MoRTH,,N24001376,182.55,03/2027,119.02,2024-07,July_Part-II.pdf,,,,,,,,,,182.55,24327.0,,0.0,
,19,WIDENING EXISTING 2 LANE TO 4 LANE WITH PAVED SHOULDER INCLUDING STRENGTHENING CARRIAGEWAY FROM KM 8,MoRTH,,N24001380,302.62,02/2021,324.68,2024-07,July_Part-II.pdf,,,,,,,,,,302.62,24254.0,,0.0,
,20,MARIAM - PEREN (PKG 2A),NHIDCL,,N24001398,204.58,03/2023,126.78,2024-07,July_Part-II.pdf,,,,,,,,,,204.58,24279.0,,0.0,
,21,UP GRADATION OF AUTOMATION SYSTEM OF HOT STRIP MILL AT BOKARO STEEL PLANT,SAIL,,N12000126,207.74,06/2024,185.01,2024-07,July_Part-II.pdf,,,,,,,,,,207.74,24294.0,,0.0,
,1,KARMA OCP (1.0MTY),CCL,,N06000088,162.46,03/2014,95.92,2024-08,August_Part-2(List_of_tables).pdf,,,,,,,,,,162.46,24171.0,,0.0,
,2,4-LANNING OF VARANASI GORAKHPUR SECTION OF NH-29 FROM 88.00 148.00 KM 4-LANNING OF VARANASI GORAKHPU,NHAI,,N24000549,1396.74,10/2019,3986.5,2024-08,August_Part-2(List_of_tables).pdf,,,,,,,,,,1396.74,24238.0,,0.0,
,3,CONSTRUCTION OF PARTIALLY ACESS CONTROLLED FOUR LANE ELEVATED HIGHWAY BETWEEN SAMRALA CHOWK (DESIGN,NHAI,,N24000662,754.54,03/2020,800.29,2024-08,August_Part-2(List_of_tables).pdf,,,,,,,,,,754.54,24243.0,,0.0,
,4,SIX-LANNING OF GREENFIELD PROPOSED UDAIPUR BYPASS PKG-IV,NHAI,,N24000691,894.0,04/2020,1082.77,2024-08,August_Part-2(List_of_tables).pdf,,,,,,,,,,894.0,24244.0,,0.0,
,5,FOUR LANING OF DANGIAWAS (KM 96.595 TO NH- 112) TO JAJIWAL (KM 283.500 OF NH 65 NAGAUR ROAD) SECTIO,NHAI,,N24000711,1308.73,12/2020,1308.73,2024-08,August_Part-2(List_of_tables).pdf,,,,,,,,,,1308.73,24252.0,,0.0,
,6,CONSTRUCTION OF 2 LANING OF EXISTING HUNLI- ANINI ROAD ON EPC BASIS FROM DESIGN KM 106.200 TO KM 120.,NHIDCL,,N24000944,200.44,01/2020,161.25,2024-08,August_Part-2(List_of_tables).pdf,,,,,,,,,,200.44,24241.0,,0.0,
,7,6-LANING OF VIJAYAWADA BYPASS FROM CHINNA AVUTUPALLI (DESIGN CH.0+000) TO GOLLAPUDI,DESIGN CH. 30+0,,N24001300,1226.88,02/2021,1438.66,2024-08,August_Part-2(List_of_tables).pdf,,,,,,,,,,1226.88,24254.0,,0.0,
,8,TWO- LANE WITH PAVED SHOULDER CONFIGURATION OF IMPHAL - MOREH SECTION OF NH-39 FROM KM 330 TO KM 350,NHIDCL,,N24001333,761.54,05/2023,430.31,2024-08,August_Part-2(List_of_tables).pdf,,,,,,,,,,761.54,24281.0,,0.0,
,9,4L+PS OF RAS-BEAWAR SECTION (KM 0.00 TO KM 30.00) OF NH-158 (GNHCP) WORLD BANK. PKG-I.,MoRTH,,N24001409,319.09,03/2024,138.67,2024-08,August_Part-2(List_of_tables).pdf,,,,,,,,,,319.09,24291.0,,0.0,
,10,4L+PS OF NH -58 FROM BEAWAR-GOMTI (OLD CH KM 108.600 TO KM 144 KM 158.419 TO KM 173.300 PKG-II.,MoRTH,,N24001412,339.65,10/2023,207.23,2024-08,August_Part-2(List_of_tables).pdf,,,,,,,,,,339.65,24286.0,,0.0,
